OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
201,LINK-000908,Manhattan,POINT (-73.94003356743148 40.79770072493198),111,40.797709,-73.940035,Not Ready for CX,A - Link Live,116230,2119 3 AVENUE,308 NW,NY-MN,03/03/2016 12:00:00 AM +0000,mn-11-116230
202,LINK-000909,Manhattan,POINT (-73.94017239044823 40.798147938379685),111,40.7981562138,-73.940173823,Not Ready for CX,A - Link Live,120240,2126 3 AVENUE,204 SW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-11-120240
203,LINK-000911,Manhattan,POINT (-73.93724756827754 40.80151972427363),111,40.801528,-73.937249,Not Ready for CX,A - Link Live,137841,2239 3 AVENUE,311 NW,NY-MN,02/24/2016 12:00:00 AM +0000,mn-11-137841
204,LINK-000912,Manhattan,POINT (-73.93728856771624 40.80189072432039),111,40.801899,-73.93729,Not Ready for CX,A - Link Live,120235,2246 3 AVENUE,100 E,NY-MN,02/18/2016 12:00:00 AM +0000,mn-11-120235
205,LINK-000913,Manhattan,POINT (-73.93671856805618 40.8026547240191),111,40.802663,-73.93672,Not Ready for CX,A - Link Live,142952,2266 3 AVENUE,129 SE,NY-MN,03/01/2016 12:00:00 AM +0000,mn-11-142952
206,LINK-000914,Manhattan,POINT (-73.93626856827183 40.8028617241575),111,40.80287,-73.93627,Not Ready for CX,A - Link Live,143437,2277 3 AVENUE,289 W,NY-MN,04/21/2016 12:00:00 AM +0000,mn-11-143437
207,LINK-000915,Manhattan,POINT (-73.93610856810466 40.80350872332749),111,40.803517,-73.93611,Not Ready for CX,A - Link Live,143675,160 E 125 ST,126 SE,NY-MN,03/01/2016 12:00:00 AM +0000,mn-11-143675
208,LINK-000916,Manhattan,POINT (-73.93613756851889 40.80372272314618),111,40.803731,-73.936139,Not Ready for CX,A - Link Live,144673,160 E 125 ST,25 NE,NY-MN,03/14/2016 12:00:00 AM +0000,mn-11-144673
209,LINK-000918,Manhattan,POINT (-73.9635845618218 40.765872732447605),108,40.765881,-73.963586,Not Ready for CX,A - Link Live,120980,1126 3 AVENUE,122 SE,NY-MN,03/13/2016 12:00:00 AM +0000,mn-08-120980
210,LINK-000926,Manhattan,POINT (-73.98199955533664 40.77471473055542),107,40.774723,-73.982001,Not Ready for CX,A - Link Live,121339,1992 BROADWAY,311 NW,NY-MN,04/15/2016 12:00:00 AM +0000,mn-07-121339
