Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/23/2016,new site,LINK-018141,advertising unit,40.736981999999998,-73.880314999999996,Queens,C1-3/R6,4,,QUEENS BOULEVARD,55 AVENUE,55 ROAD,NONE,,55 ROAD,NO,,81548,CityBridge LLC,,,"(40.736981999999998, -73.880314999999996)"
08/23/2016,new site,LINK-018142,advertising unit,40.737777000000001,-73.883977999999999,Queens,C1-3/R6,4,,QUEENS BOULEVARD,BROADWAY,54 AVENUE,NONE,,54 AVENUE,NO,,81549,CityBridge LLC,,,"(40.737777000000001, -73.883977999999999)"
08/23/2016,new site,LINK-018143,advertising unit,40.738349999999997,-73.887011999999999,Queens,C1-2/R6,4,,QUEENS BOULEVARD,GOLDSMITH STREET,VAN LOON STREET,NONE,,VAN LOON STREET,NO,,81551,CityBridge LLC,,,"(40.738349999999997, -73.887011999999999)"
08/23/2016,new site,LINK-018144,advertising unit,40.739393,-73.892498000000003,Queens,C4-2,4,,QUEENS BOULEVARD,CORNISH AVENUE,51 AVENUE,NONE,,51 AVENUE,NO,,81552,CityBridge LLC,,,"(40.739393, -73.892498000000003)"
08/23/2016,new site,LINK-018145,advertising unit,40.739922,-73.895296000000002,Queens,M1-1,4,,QUEENS BOULEVARD,JACOBUS STREET,IRELAND STREET,NONE,,IRELAND STREET,NO,,81553,CityBridge LLC,,,"(40.739922, -73.895296000000002)"
08/23/2016,new site,LINK-018146,advertising unit,40.740727,-73.899863999999994,Queens,C2-2/R5,2,,QUEENS BOULEVARD,70 STREET,72 STREET,NONE,,72 STREET,NO,,81554,CityBridge LLC,,,"(40.740727, -73.899863999999994)"
08/23/2016,new site,LINK-018147,advertising unit,40.740962000000003,-73.901886000000005,Queens,C2-3/R7X,2,,QUEENS BOULEVARD,69 STREET,45 AVENUE,NONE,,45 AVENUE,NO,,81555,CityBridge LLC,,,"(40.740962000000003, -73.901886000000005)"
08/23/2016,new site,LINK-018148,advertising unit,40.741219999999998,-73.904089999999997,Queens,C2-3/R7X,2,,QUEENS BOULEVARD,65 STREET,BROOKLYN QUEENS EP ET   39 W WB,NONE,,BROOKLYN QUEENS EP ET   39 W WB,NO,,81556,CityBridge LLC,,,"(40.741219999999998, -73.904089999999997)"
08/23/2016,new site,LINK-018149,advertising unit,40.741506000000001,-73.906524000000005,Queens,C2-3/R7X,2,,QUEENS BOULEVARD,61 STREET,64 STREET,NONE,,64 STREET,NO,,81557,CityBridge LLC,,,"(40.741506000000001, -73.906524000000005)"
08/23/2016,new site,LINK-018151,advertising unit,40.741444999999999,-73.907539999999997,Queens,C1-2/R7-1,2,,QUEENS BOULEVARD,61 STREET,61 STREET,NONE,,61 STREET,NO,,81559,CityBridge LLC,,,"(40.741444999999999, -73.907539999999997)"
08/23/2016,new site,LINK-018153,advertising unit,40.742372707519898,-73.914068479178894,Queens,C1-2\R8R6,2,,QUEENS BOULEVARD,58 STREET ,59 STREET ,NONE,,59 STREET ,NO,,81561,CityBridge LLC,,,"(40.742372707519898, -73.914068479178894)"
08/23/2016,new site,LINK-018155,advertising unit,40.742512392135197,-73.915349154193194,Queens,C1-2\R8R6,2,,58 STREET,QUEENS BOULEVARD,47 AVENUE,NONE,,47 AVENUE,YES,Sunnyside Shines,81564,CityBridge LLC,,,"(40.742512392135197, -73.915349154193194)"
08/23/2016,new site,LINK-018156,advertising unit,40.742977000000003,-73.919179999999997,Queens,M1-1,2,,QUEENS BOULEVARD,51 STREET,51 STREET,NONE,,51 STREET,YES,Sunnyside Shines,81565,CityBridge LLC,,,"(40.742977000000003, -73.919179999999997)"
